window,name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_short_fraction,max_target_short_fraction,hedge_gate_active_share,bars_with_short_target,max_debt_ETH_value,final_debt_ETH_value,usd_gap_vs_static,sol_gap_vs_static,dd_gap_vs_static,strict_improvement_vs_static
late_2024_2025,rs_lb36_u0.0050,28479.547084829825,227.92754769771767,37.853793673057226,1.3315675483209206,1.465497112967476,85,1161,541.2978959436479,0,False,0.004815649791678557,0.05,0.8403059186119514,1695,754.7786778173648,453.69310433179965,974.3675170245479,7.798059359940339,-0.032447467053167145,True
late_2024_2025,rs_lb24_u0.0050_g3_0.040_g2_0.000,27911.1968225,223.37892615046016,38.68559439504648,1.2006564799615222,1.465497112967476,41,1136,553.7137743738233,0,False,0.003486102391416015,0.04,0.8339135894069973,1527,0.0,0.0,406.0172546947215,3.249437812682828,0.7993532549360864,False
late_2024_2025,rs_lb24_u0.0050_g3_0.040_g2_0.025,27911.1968225,223.37892615046016,38.68559439504648,1.2006564799615222,1.465497112967476,41,1136,553.7137743738233,0,False,0.003601677986416301,0.04,0.8278066320415501,1608,0.0,0.0,406.0172546947215,3.249437812682828,0.7993532549360864,False
late_2024_2025,rs_lb24_u0.0050_g3_0.050_g2_0.000,28277.207916263553,226.30818660475032,37.85012267089149,1.326776371649246,1.465497112967476,86,1144,535.985741789082,0,False,0.004360481707665088,0.05,0.8337423663032932,1528,765.8050582199916,460.32099791363385,772.028348458276,6.178698266972987,-0.0361184692189056,True
late_2024_2025,rs_lb24_u0.0050_g3_0.050_g2_0.025,28277.207916263553,226.30818660475032,37.85012267089149,1.326776371649246,1.465497112967476,86,1144,535.985741789082,0,False,0.004453227555504823,0.05,0.8286056731921694,1593,765.8050582199916,460.32099791363385,772.028348458276,6.178698266972987,-0.0361184692189056,True
late_2024_2025,rs_lb24_u0.0050_g3_0.050_g2_0.050,28277.207916263553,226.30818660475032,37.85012267089149,1.326776371649246,1.465497112967476,86,1144,535.985741789082,0,False,0.004545973403344558,0.05,0.8286056731921694,1593,765.8050582199916,460.32099791363385,772.028348458276,6.178698266972987,-0.0361184692189056,True
late_2024_2025,rs_lb24_u0.0050_g3_0.060_g2_0.025,27406.303304114743,219.33816169759697,37.88396318094516,1.2593732870457282,1.4654971129674763,82,1458,528.4018429453135,0,False,0.0053452999258033216,0.06,0.8226128645625249,1607,2225.936267961578,573.2318408763686,-98.87626369053396,-0.7913266401803583,-0.002277959165233767,False
single_2025,static_light_hedge,24883.579246560665,199.14829328980125,41.234264886979375,0.8384365443594702,1.4698119780150547,30,607,311.49316901686916,0,False,0.011685933386746021,0.05,1.0,2051,1492.565655044045,521.6556483406197,0.0,0.0,0.0,True
single_2025,rs_lb18_u0.0000,25203.369432480882,201.70763851525317,41.97236612874447,0.8486183323054938,1.4829014133786558,33,673,324.9736611648864,0,False,0.004040288428522376,0.05,0.8464003662584411,709,1448.3082729668586,650.2697019422159,319.7901859202175,2.5593452254519207,0.7381012417650936,False
single_2025,rs_lb18_u0.0025,25120.253646776466,201.0424461526728,41.98140115243475,0.841796236934395,1.4829014133786564,32,659,324.3604023457384,0,False,0.003639693258555568,0.05,0.8385029186219526,638,1443.532035393847,648.1252395780994,236.67440021580114,1.8941528628715503,0.7471362654553744,False
single_2025,rs_lb18_u0.0050,25228.398977861223,201.90795500489173,41.98139926926919,0.8473597676266532,1.4829924373987986,16,705,324.6723247844378,0,False,0.0032734348174430585,0.05,0.8309488382740071,573,1552.5063848224102,855.8575184820875,344.8197313005585,2.7596617150904876,0.7471343822898149,False
single_2025,rs_lb18_u0.0075,25294.494006914912,202.43692682604973,41.494559861737166,0.8615346384767726,1.4816350070795976,15,606,337.49160033886506,0,False,0.0028156117660524207,0.05,0.8217923772461944,493,1406.1300158786444,79.41968703408529,410.91476035424785,3.288633536248483,0.26029497475779095,False
single_2025,rs_lb24_u0.0000,25484.971572268885,203.96135712099948,41.54484342158341,0.8513344162818157,1.4829924373985472,14,709,330.52076645571407,0,False,0.004140437221014079,0.05,0.848460569989699,727,1544.5699926947989,864.8334393083104,601.3923257082206,4.813063831198235,0.3105785346040335,False
single_2025,rs_lb24_u0.0025,25633.11107278694,205.14694736124002,41.49050398931172,0.8850428063268848,1.4829924373985512,15,699,331.6158596009153,0,False,0.003751287627332037,0.05,0.8405631223532105,658,1553.548888776477,869.6622149750079,749.5318262262772,5.998654071438779,0.25623910233234426,False
single_2025,rs_lb24_u0.0050,25588.684889623015,204.79139567525422,41.49815588441072,0.8615461250899016,1.4829924373985504,14,687,331.7173585892395,0,False,0.0033421082751516544,0.05,0.8322078516653314,586,1553.0288015679525,868.0667531906181,705.1056430623503,5.643102385452977,0.26389099743134636,False
